epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,882.206,1.35465,0.60293,0.79098,0.87365,0.86486,0.96587,0.51165,1.63403,0.6566,0.81789,0.00168122,0.00168122,0.00168122
163,887.491,1.3817,0.60069,0.81254,0.95531,0.89189,0.97249,0.53154,1.62415,0.69523,0.81344,0.00167924,0.00167924,0.00167924
164,892.555,1.33215,0.55322,0.7876,0.98783,0.86486,0.9722,0.56137,1.52757,0.65857,0.81317,0.00167726,0.00167726,0.00167726
165,897.624,1.37667,0.60059,0.81556,0.91562,0.88004,0.96396,0.56068,1.55701,0.70462,0.80944,0.00167528,0.00167528,0.00167528
166,902.904,1.49425,0.663,0.79061,0.88747,0.89189,0.96422,0.53795,1.71305,0.70714,0.81375,0.0016733,0.0016733,0.0016733
167,907.888,1.39621,0.59414,0.81308,0.95273,0.89189,0.97033,0.55229,1.67186,0.69313,0.81396,0.00167132,0.00167132,0.00167132
168,912.978,1.33686,0.58182,0.79815,0.89486,0.92015,0.97883,0.5564,1.60884,0.70564,0.8121,0.00166934,0.00166934,0.00166934
169,917.935,1.38566,0.5872,0.77694,0.92261,0.91892,0.98037,0.57024,1.5833,0.6858,0.81052,0.00166736,0.00166736,0.00166736
170,923.413,1.23622,0.52405,0.78957,0.97175,0.92997,0.98782,0.5776,1.6249,0.67304,0.81134,0.00166538,0.00166538,0.00166538
171,928.408,1.41511,0.5848,0.81691,0.94655,0.95742,0.98723,0.56514,1.63057,0.65837,0.81376,0.0016634,0.0016634,0.0016634
172,933.666,1.36719,0.54664,0.81515,0.96166,0.91892,0.98616,0.5862,1.55604,0.64215,0.81668,0.00166142,0.00166142,0.00166142
173,938.909,1.34481,0.58467,0.80064,0.9424,0.88449,0.97759,0.58484,1.49604,0.61885,0.81669,0.00165944,0.00165944,0.00165944
174,944.976,1.45581,0.62226,0.80617,0.96872,0.83695,0.97364,0.55789,1.53753,0.60442,0.81704,0.00165746,0.00165746,0.00165746
175,949.912,1.39826,0.57065,0.83432,1,0.88571,0.97637,0.58669,1.47625,0.59179,0.81828,0.00165548,0.00165548,0.00165548
176,954.957,1.36961,0.56508,0.81401,0.94506,0.92996,0.97413,0.54006,1.65713,0.66884,0.81791,0.0016535,0.0016535,0.0016535
177,960.286,1.36044,0.53934,0.8188,0.93505,0.89189,0.95851,0.52864,1.58202,0.80162,0.81189,0.00165152,0.00165152,0.00165152
178,965.513,1.36055,0.5864,0.80309,1,0.80925,0.95156,0.54272,1.48917,0.82206,0.811,0.00164954,0.00164954,0.00164954
179,971.146,1.42433,0.6005,0.77398,0.94272,0.88961,0.96214,0.54079,1.51211,0.70531,0.80948,0.00164756,0.00164756,0.00164756
180,977.199,1.33348,0.55784,0.81331,0.91737,0.90039,0.96939,0.58695,1.45572,0.63199,0.8091,0.00164558,0.00164558,0.00164558
181,982.444,1.28553,0.58695,0.81073,0.94334,0.90009,0.97436,0.53632,1.70945,0.69656,0.81874,0.0016436,0.0016436,0.0016436
182,988.489,1.59987,0.59809,0.82118,1,0.88748,0.97075,0.56104,1.60762,0.6717,0.81852,0.00164162,0.00164162,0.00164162
183,994.549,1.53465,0.73881,0.81306,1,0.88835,0.97265,0.56343,1.52271,0.64029,0.81234,0.00163964,0.00163964,0.00163964
184,999.678,1.36929,0.61565,0.7838,0.93351,0.91892,0.97443,0.55336,1.61819,0.61216,0.80886,0.00163766,0.00163766,0.00163766
