epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,1540.29,0.58915,0.32892,0.86622,0.99593,1,0.99497,0.876,0.59404,0.27706,0.88188,0.00120548,0.00120548,0.00120548
160,1550.24,0.6005,0.31902,0.86778,0.99382,0.9986,0.99491,0.87115,0.59996,0.2729,0.88253,0.00120406,0.00120406,0.00120406
161,1559.76,0.58476,0.32153,0.85203,0.99322,1,0.99488,0.87067,0.60217,0.2734,0.88073,0.00120265,0.00120265,0.00120265
162,1570.09,0.59167,0.31779,0.86765,0.99379,0.99352,0.99488,0.87516,0.60864,0.28276,0.88138,0.00120123,0.00120123,0.00120123
163,1578.35,0.59658,0.33055,0.87657,0.99371,0.99379,0.99484,0.87106,0.61788,0.28696,0.88205,0.00119982,0.00119982,0.00119982
164,1588.67,0.59425,0.32026,0.86817,0.99263,0.99379,0.99462,0.87245,0.61216,0.28751,0.88386,0.0011984,0.0011984,0.0011984
165,1597.93,0.59531,0.32379,0.8687,0.99135,0.99379,0.99459,0.86704,0.61829,0.28784,0.88781,0.00119699,0.00119699,0.00119699
166,1610.81,0.58467,0.32222,0.86068,0.9907,0.99235,0.99459,0.87005,0.63484,0.28967,0.89027,0.00119557,0.00119557,0.00119557
167,1622.57,0.61819,0.32781,0.87801,0.9897,0.99379,0.99475,0.87459,0.61528,0.28232,0.88701,0.00119416,0.00119416,0.00119416
168,1633.53,0.6053,0.32711,0.86263,0.9876,0.99379,0.99478,0.87135,0.6151,0.27816,0.89141,0.00119274,0.00119274,0.00119274
169,1644.29,0.59114,0.31492,0.86947,0.98743,0.99379,0.99484,0.87224,0.61696,0.27777,0.89207,0.00119133,0.00119133,0.00119133
170,1653.24,0.60209,0.33355,0.87135,0.98772,0.99941,0.99484,0.87265,0.63204,0.28015,0.89249,0.00118991,0.00118991,0.00118991
171,1662.32,0.5949,0.32243,0.87144,0.98732,1,0.99485,0.8755,0.61456,0.27366,0.89138,0.0011885,0.0011885,0.0011885
172,1672.89,0.58339,0.31546,0.85612,0.98685,1,0.99481,0.87215,0.61938,0.27473,0.89295,0.00118708,0.00118708,0.00118708
173,1679.85,0.57438,0.30316,0.86732,0.98654,1,0.99484,0.87172,0.6219,0.27674,0.89185,0.00118567,0.00118567,0.00118567
174,1689.91,0.59549,0.32032,0.86364,0.99077,0.99986,0.99491,0.87247,0.60642,0.26632,0.89001,0.00118426,0.00118426,0.00118426
